open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,
1.71728E+12,3832.62,3833.5,3824.25,3827.76,8960.918,1.71728E+12,34302544.83,19412,4049.895,15503826.36,0,
1.71728E+12,3827.76,3830.58,3823.8,3824.01,9221.416,1.71728E+12,35289374.27,15184,4765.199,18237540.8,0,
1.71728E+12,3824,3826,3817.51,3817.79,13710.878,1.71728E+12,52393249.67,21372,4986.861,19059733.55,0,
1.71728E+12,3817.8,3820.79,3815,3815.55,7413.622,1.71728E+12,28306216.98,17238,3710.367,14166763.24,0,
1.71728E+12,3815.56,3820.4,3815.38,3816.37,3440.838,1.71729E+12,13136911.57,11870,2030.295,7751162.213,0,
1.71729E+12,3816.37,3818.88,3816.36,3817.49,5628.75,1.71729E+12,21490172.24,12743,1955.715,7466675.021,0,
1.71729E+12,3817.49,3820.06,3815.7,3816.85,13230.297,1.71729E+12,50509924.55,18756,5801.301,22149512.81,0,
1.71729E+12,3816.86,3825.86,3816,3825.7,14643.668,1.71729E+12,55964973.24,21983,8583.19,32804886.94,0,
1.71729E+12,3825.7,3827.51,3821.8,3825.99,9437.823,1.71729E+12,36097608.63,14159,4589.765,17558398.15,0,
1.71729E+12,3826,3838.98,3823.08,3837.48,17576.035,1.71729E+12,67386107.66,23726,10718.148,41092147.01,0,
1.71729E+12,3837.48,3841.7,3828.83,3835.43,21369.864,1.71729E+12,81989774.16,35352,9651.672,37030616.67,0,
1.71729E+12,3835.42,3840.53,3830.17,3838,13042.22,1.71729E+12,50040578.66,22836,7670.641,29431213.99,0,
1.71729E+12,3838,3840.59,3831.96,3832.99,8316.27,1.71729E+12,31904034.36,19217,4011.381,15389072.22,0,
1.71729E+12,3832.99,3834,3823.64,3826.11,10885.312,1.71729E+12,41666723.44,20497,4015.99,15374024.73,0,
1.71729E+12,3826.12,3829.36,3822.22,3824.33,16089.786,1.71729E+12,61545942.38,21844,8807.348,33694571.4,0,
1.71729E+12,3824.34,3828.35,3816.11,3816.43,32964.904,1.7173E+12,125990495.1,28862,13748.469,52551586.15,0,
1.7173E+12,3816.44,3819,3806,3809.63,32149.174,1.7173E+12,122591471.8,36328,14005.974,53409519.94,0,
1.7173E+12,3809.64,3809.64,3798.59,3808.97,38073.998,1.7173E+12,144852773.6,39644,18321.009,69718354.99,0,
1.7173E+12,3808.97,3812.93,3806,3811.7,15600.378,1.7173E+12,59424659.54,26670,8079.72,30779440.62,0,
1.7173E+12,3811.7,3811.7,3804.85,3805.2,15031.264,1.7173E+12,57221166.69,27239,6942.128,26428829.38,0,
1.7173E+12,3805.2,3811,3804.31,3806.32,8973.772,1.7173E+12,34169555.9,20027,5269.519,20065770.81,0,
1.7173E+12,3806.32,3812.62,3806,3809,12661.506,1.7173E+12,48227745.56,16313,7080.031,26969482.79,0,
1.7173E+12,3809,3812,3806.46,3807.98,8884.589,1.7173E+12,33846181.05,20043,4758.687,18129415.24,0,
1.7173E+12,3807.98,3812.24,3806,3811.33,16313.505,1.7173E+12,62142165.21,26251,10095.336,38458151.15,0,
1.7173E+12,3811.33,3815.68,3809,3814.47,12309.714,1.7173E+12,46932213.7,28848,7716.061,29419021.81,0,
1.7173E+12,3814.47,3823.28,3813.05,3823.12,13881.137,1.7173E+12,53006311.89,27900,9175.805,35041662.1,0,
1.7173E+12,3823.11,3826.03,3818.3,3818.86,11108.421,1.71731E+12,42458323.01,23213,5068.38,19374257.45,0,
1.71731E+12,3818.85,3818.86,3811.11,3813.11,8555.078,1.71731E+12,32641186.11,14610,2844.145,10849234.75,0,
1.71731E+12,3813.11,3815.47,3809.53,3809.84,4512.413,1.71731E+12,17204665.94,12904,1787.22,6814725.481,0,
1.71731E+12,3809.83,3811.18,3807.12,3807.45,16492.136,1.71731E+12,62817697.03,20522,7328.41,27915141.24,0,
1.71731E+12,3807.46,3812.5,3806.94,3811.6,10284.719,1.71731E+12,39185805.03,18539,5449.925,20764064.06,0,
1.71731E+12,3811.61,3816.05,3810.09,3814.39,10119.134,1.71731E+12,38581185.95,16641,5404.601,20608870.96,0,
1.71731E+12,3814.4,3817.31,3811.47,3812.31,4690.382,1.71731E+12,17894118.93,12294,2459.415,9383134.589,0,
1.71731E+12,3812.31,3817.36,3811.67,3816.98,5262.507,1.71731E+12,20077414.79,11348,2959.069,11290568.03,0,
1.71731E+12,3816.99,3817,3809,3813.2,9038.47,1.71731E+12,34460793.1,14955,4394.483,16754971.11,0,
